5/2/2025	S	Enrolled to Governor.
5/2/2025	S	Received notice of passage on Final Reading in House (Hse. Com. No. 821).
5/1/2025	H	Received notice of Final Reading (Sen. Com. No. 888).
4/30/2025	H	Passed Final Reading as amended in CD 1 with none voting aye with reservations; none voting no (0) and Representative(s) Cochran, Pierick excused (2).
4/30/2025	S	Passed Final Reading, as amended (CD 1). Ayes, 25; Aye(s) with reservations: none. Noes, 0 (none). Excused, 0 (none).
4/25/2025	H	Forty-eight (48) hours notice Wednesday, 04-30-25.
4/25/2025	H	Reported from Conference Committee (Conf Com. Rep. No. 112) as amended in (CD 1).
4/25/2025	S	48 Hrs. Notice (as amended CD 1) 04-30-25.
4/25/2025	S	Reported from Conference Committee as amended CD 1 (Conf. Com. Rep. No. 112).
4/24/2025	H	The Conference Committee recommends that the measure be Passed, with Amendments. The votes were as follows: 3 Ayes: Representative(s) Kahaloa, Ilagan, Kusch; Ayes with reservations: none; 0 Noes: none; and 1 Excused: Representative(s) Matsumoto.
4/24/2025	S	The Conference committee recommends that the measure be PASSED, WITH AMENDMENTS. The votes of the Senate Conference Managers were as follows: 3 Aye(s): Senator(s) Gabbard, DeCoite, Rhoads; Aye(s) with reservations: none ; 0 No(es): none; and 1 Excused: Senator(s) Awa.
4/22/2025	H	Received notice of Senate conferees (Sen. Com. No. 863).
4/22/2025	S	Conference committee meeting scheduled for 04-24-25 9:31AM; Conference Room 325.
4/22/2025	S	Senate Conferees Appointed: Gabbard Chair; DeCoite Co-Chair; Rhoads, Awa.
4/22/2025	S	Received notice of appointment of House conferees (Hse. Com. No. 784).
4/21/2025	H	House Conferees Appointed: Kahaloa, Ilagan, Kusch Co-Chairs; Matsumoto.
4/10/2025	H	Received notice of disagreement (Sen. Com. No. 779).
4/10/2025	S	Senate disagrees with House amendments.
4/10/2025	S	Received from House (Hse. Com. No. 673).
4/8/2025	H	Passed Third Reading as amended in HD 3 with none voting aye with reservations; none voting no (0) and Representative(s) Cochran, Marten excused (2). Transmitted to Senate.
4/4/2025	H	Forty-eight (48) hours notice Tuesday, 04-08-25.
4/4/2025	H	Reported from FIN (Stand. Com. Rep. No. 2000) as amended in HD 3, recommending passage on Third Reading.
4/1/2025	H	The committee on FIN recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 14 Ayes: Representative(s) Yamashita, Takenouchi, Grandinetti, Holt, Hussey, Keohokapu-Lee Loy, Kitagawa, Kusch, Lamosao, Lee, M., Miyake, Morikawa, Templo, Reyes Oda; Ayes with reservations: none; Noes: none; and 1 Excused: Representative(s) Alcos.
3/28/2025	H	Bill scheduled to be heard by FIN on Tuesday, 04-01-25 2:00PM in House conference room 308 VIA VIDEOCONFERENCE.
3/21/2025	H	Report adopted; referred to the committee(s) on FIN as amended in HD 2 with none voting aye with reservations; none voting no (0) and Representative(s) Cochran, Garrett, Kapela, Kitagawa, Ward excused (5).
3/21/2025	H	Reported from ECD (Stand. Com. Rep. No. 1445) as amended in HD 2, recommending referral to FIN.
